algorithm,parallel,delta,graph_size,graph_density,n_threads,time,n_repeat
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.3;0.6,6,221.579,2
FloydParallel,1,-1,10;20,0.3;0.6,1,10.425,2
DijkstraParallel,1,-1,10;20,0.3;0.6,1,3.98,2
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.3;0.6,12,228.128,2
FloydParallel,1,-1,10;20,0.3;0.6,1,10.797,2
DijkstraParallel,1,-1,10;20,0.3;0.6,1,4.259,2
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.3;0.6,16,227.526,2
FloydSequential,0,-1,10;20,0.15;0.6,1,1.085,2
FloydParallel,1,-1,10;20,0.15;0.6,1,3.769,2
DijkstraParallel,1,-1,10;20,0.15;0.6,1,3.07,2
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.15;0.6,6,76.185,2
FloydParallel,1,-1,10;20,0.15;0.6,1,8.967,2
DijkstraParallel,1,-1,10;20,0.15;0.6,1,2.578,2
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.15;0.6,12,77.142,2
FloydParallel,1,-1,10;20,0.15;0.6,1,11.554,2
DijkstraParallel,1,-1,10;20,0.15;0.6,1,2.991,2
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.15;0.6,16,77.178,2
FloydSequential,0,-1,10;20,0.05;0.6,1,0.971,2
FloydParallel,1,-1,10;20,0.05;0.6,1,4.253,2
DijkstraParallel,1,-1,10;20,0.05;0.6,1,1.796,2
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.05;0.6,6,40.31,2
FloydParallel,1,-1,10;20,0.05;0.6,1,9.859,2
DijkstraParallel,1,-1,10;20,0.05;0.6,1,1.914,2
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.05;0.6,12,41.031,2
FloydParallel,1,-1,10;20,0.05;0.6,1,9.82,2
DijkstraParallel,1,-1,10;20,0.05;0.6,1,2.052,2
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.05;0.6,16,40.756,2
FloydSequential,0,-1,20;25,0.3;0.6,1,33.597,2
FloydParallel,1,-1,20;25,0.3;0.6,1,39.791,2
DijkstraParallel,1,-1,20;25,0.3;0.6,1,30.64,2
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.3;0.6,6,621.217,2
FloydParallel,1,-1,20;25,0.3;0.6,1,41.966,2
DijkstraParallel,1,-1,20;25,0.3;0.6,1,24.432,2
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.3;0.6,12,626.922,2
FloydParallel,1,-1,20;25,0.3;0.6,1,47.028,2
DijkstraParallel,1,-1,20;25,0.3;0.6,1,25.825,2
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.3;0.6,16,644.288,2
FloydSequential,0,-1,20;25,0.15;0.6,1,19.708,2
FloydParallel,1,-1,20;25,0.15;0.6,1,36.727,2
DijkstraParallel,1,-1,20;25,0.15;0.6,1,29.304,2
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.15;0.6,6,919.569,2
FloydParallel,1,-1,20;25,0.15;0.6,1,50.272,2
DijkstraParallel,1,-1,20;25,0.15;0.6,1,21.336,2
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.15;0.6,12,928.935,2
FloydParallel,1,-1,20;25,0.15;0.6,1,43.064,2
DijkstraParallel,1,-1,20;25,0.15;0.6,1,24.378,2
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.15;0.6,16,935.229,2
FloydSequential,0,-1,20;25,0.05;0.6,1,6.66,2
FloydParallel,1,-1,20;25,0.05;0.6,1,30.442,2
DijkstraParallel,1,-1,20;25,0.05;0.6,1,10.164,2
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.05;0.6,6,342.401,2
FloydParallel,1,-1,20;25,0.05;0.6,1,34.377,2
DijkstraParallel,1,-1,20;25,0.05;0.6,1,8.689,2
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.05;0.6,12,344.773,2
FloydParallel,1,-1,20;25,0.05;0.6,1,37.42,2
DijkstraParallel,1,-1,20;25,0.05;0.6,1,6.997,2
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.05;0.6,16,346.395,2
FloydSequential,0,-1,20;40,0.3;0.6,1,108.679,2
